ID,Player,Team,Location,Position,Salary,Age,GamesPlayed,Minutes,PointsPerGame,FGMade,FGAttempted,ThreesMade,ThreesAttempted,FTMade,FTAttempted,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,TurnOvers,Efficiency,Fouls
33,Bismack Biyombo,CHA,Charlotte Hornets,Center,17000000,27,62,36,7.6,8.9,19.5,2.8,7.4,2,2.6,0.7,3.4,4.1,4.3,0.7,0.6,1.9,19.1,2
34,BJ Johnson,ORL,Orlando Magic,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Blake Griffin,DET,Detroit Pistons,Power Forward,34449964,31,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
36,Boban Marjanovic,DAL,Dallas Mavericks,Center,3500000,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Bobby Portis,NYK,New York Knicks,Power Forward,15000000,25,61,34.3,8.8,8.2,15.7,0.1,0.5,5.5,6.6,0.6,5,5.6,5.6,1,0.2,2.4,23.8,1.7
38,Bogdan Bogdanovic,SAC,Sacramento Kings,Shooting Guard,8529386,27,54,34.4,14.8,8.1,18.1,2.1,6.2,3.5,5,1.2,3.9,5.1,3.7,0.8,1,2.4,18.4,1.8
39,Bojan Bogdanovic,UTA,Utah Jazz,Small Forward,17000000,31,50,31.8,21,7,16.6,3.3,8.8,3.9,4.5,0.7,3.4,4.1,4.9,0.9,0.5,2.1,19.3,2
40,Brad Wanamaker,BOS,Boston Celtics,Point Guard,1445697,30,55,30.1,7.6,7.7,15.5,2.4,5.8,3.2,3.6,0.7,5.5,6.2,4.1,0.9,0.1,2.1,22.3,1.8
41,Bradley Beal,WAS,Washington Wizards,Shooting Guard,27093019,26,65,33,28.7,7.9,16.7,1.5,3.9,3.5,4.1,0.9,2.2,3.1,3,1,0.1,2.4,16.1,2.6
42,Brandon Clarke,MEM,Memphis Grizzlies,Small Forward,2478840,23,64,31.2,11.8,6.6,16,1.9,6.3,5.4,7,0.5,3,3.5,6.8,0.6,0.3,2.7,18.2,1.7
43,Brandon Goodwin,ATL,Atlanta Hawks,Point Guard,522738,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Brandon Ingram,NOP,New Orleans Pelicans,Small Forward,7265485,22,45,31.7,25.4,7.3,15.4,1,3.4,4.8,6.8,0.7,3.4,4,6.8,1.4,0.5,3.1,19.9,2.8
45,Brandon Knight,DET,Detroit Pistons,Point Guard,15643750,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Brian Bowen II,IND,Indiana Pacers,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Brook Lopez,MIL,Milwaukee Bucks,Center,12093023,32,50,34,10.4,7.6,15.4,2.1,5.6,3.2,4.3,1.1,5.3,6.4,2.2,1.1,0.3,2.3,19.1,2.2
48,Bruce Brown,DET,Detroit Pistons,Shooting Guard,1416852,23,54,34.3,0,6.1,13.4,0.5,2.2,7.6,9.1,1.8,4.8,6.6,6.1,1.7,0.5,2.2,24.3,0
49,Bruno Caboclo,HOU,Houston Rockets,Small Forward,1845301,24,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
