ID,Player,Team,Location,Position,Salary,Age,GamesPlayed,Minutes,PointsPerGame,FGMade,FGAttempted,ThreesMade,ThreesAttempted,FTMade,FTAttempted,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,TurnOvers,Efficiency,Fouls
427,Ryan Anderson,HOU,Houston Rockets,Power Forward,1620564,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,Ryan Arcidiacono,CHI,Chicago Bulls,Point Guard,3000000,26,52,15,4.5,2,5.2,1.1,3,0.6,0.8,0.1,1.7,1.7,1.2,0.2,0,0.3,5.3,2
429,Ryan Broekhoff,DAL,Dallas Mavericks,Shooting Guard,1416852,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,Sekou Doumbouya,DET,Detroit Pistons,Small Forward,3285120,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,Semi Ojeleye,BOS,Boston Celtics,Power Forward,1618520,25,62,23,2.9,2.3,4.6,0.5,1.6,0.6,1.1,0.9,3,3.9,1.1,0.9,0.5,0.9,8.6,1.1
432,Serge Ibaka,TOR,Toronto Raptors,Center,23271604,30,63,17.8,13.8,2.1,5.1,1.2,3.2,0.4,0.5,0.9,2.7,3.6,0.8,0.3,0.1,0.4,6.9,2.6
433,Seth Curry,DAL,Dallas Mavericks,Shooting Guard,7461380,29,59,19.3,8.4,2.3,4.7,0.3,1.1,0.7,1.1,0.9,3.4,4.4,2.2,0.8,0.5,0.9,9.8,1.8
434,Shabazz Napier,WAS,Washington Wizards,Point Guard,1845301,28,58,16,6.6,2.1,5.4,0.8,2.6,0.6,0.8,0.5,2,2.4,0.8,0.2,0.2,0.2,5.8,0.8
435,Shai Gilgeous-Alexander,OKC,Oklahoma City Thunder,Shooting Guard,3952920,21,53,14.5,18.1,2.2,5,0.5,1.3,0.7,1,0.4,1.8,2.2,0.9,0.5,0.2,0.6,5.7,1.8
436,Shake Milton,PHI,Philadelphia 76ers,Shooting Guard,1455697,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,Shamorie Ponds,TOR,Toronto Raptors,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,Shaquille Harrison,CHI,Chicago Bulls,Point Guard,1620564,26,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
439,Skal Labissiere,ATL,Atlanta Hawks,Power Forward,2338847,24,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
440,Solomon Hill,MIA,Miami Heat,Small Forward,12758781,29,51,12.9,6.4,1.9,5,0.8,2.4,0.9,1.3,0.4,1,1.4,0.8,0.3,0.1,0.8,3.9,1.7
441,Spencer Dinwiddie,BKN,Brooklyn Nets,Point Guard,10605600,27,55,16.1,20.8,2.2,3.2,0,0.2,1.1,1.5,1.3,2.4,3.7,0.6,0.5,0.7,0.5,9.2,3.5
442,Stanley Johnson,TOR,Toronto Raptors,Small Forward,3623000,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,Stanton Kidd,UTA,Utah Jazz,Small Forward,898310,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,Stephen Curry,GSW,Golden State Warriors,Point Guard,40231758,32,0,0,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
445,Sterling Brown,MIL,Milwaukee Bucks,Shooting Guard,1618520,25,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
446,Steven Adams,OKC,Oklahoma City Thunder,Center,25842697,26,60,14.5,10.4,2.2,4.7,0.6,1.7,0.5,0.8,1.6,3.4,5,0.7,0.4,1.4,0.7,9.6,1.9
447,Svi Mykhailiuk,DET,Detroit Pistons,,,23,60,14.4,5.7,2.3,4.6,0.6,1.6,0.4,0.7,0.9,1.6,2.4,0.7,0.2,0.7,0.9,6,1.2
448,T.J. McConnell,IND,Indiana Pacers,Point Guard,3500000,28,58,17.8,6.7,1.9,4.5,0.7,1.8,1,1.3,0.2,1.7,1.9,1.8,1,0.3,0.8,6.8,1.3
449,T.J. Warren,IND,Indiana Pacers,Small Forward,10810000,26,54,18.4,18,1.9,4.6,1.1,2.9,0.6,0.8,0.5,2.4,2.9,1.8,0.7,0.2,0.9,7.1,2.7
450,Tacko Fall,BOS,Boston Celtics,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,Taj Gibson,NYK,New York Knicks,Center,9000000,34,58,16.6,5.5,2.3,3.8,0,0,0.6,1.3,1.8,3.6,5.3,1.8,0.5,1.4,0.8,11.5,2.3
452,Talen Horton-Tucker,LAL,Los Angeles Lakers,Shooting Guard,898310,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,Tariq Owens,PHX,Phoenix Suns,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Taurean Prince,BKN,Brooklyn Nets,Power Forward,3481986,26,61,18.3,13.5,2,4.3,0.7,2.2,0.4,0.6,0.9,3.3,4.2,1.6,0.3,0.5,0.8,8.4,2.7
455,Terance Mann,LAC,LA Clippers,Shooting Guard,1000000,23,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
456,Terence Davis,TOR,Toronto Raptors,Shooting Guard,898310,23,60,14.6,6.8,1.8,5.1,1,3.4,0.4,0.5,0.3,1.8,2.1,0.8,0.4,0.4,0.6,4.7,1.9
457,Terrance Ferguson,OKC,Oklahoma City Thunder,Small Forward,2475840,22,50,17.4,5.7,1.9,4.2,0.7,2.2,0.4,0.6,1,2.2,3.1,0.7,0.4,0.6,0.4,6.9,3
458,Terrence Ross,ORL,Orlando Magic,Shooting Guard,12500000,29,48,18.8,12.6,1.9,4.3,0.4,1.6,0.9,1.4,0.8,2.5,3.3,2,0.8,0.2,0.9,7.4,1.8
459,Terry Rozier,CHA,Charlotte Hornets,Point Guard,19894737,26,47,16.3,17.7,1.7,4,0.4,1.4,0.9,1.1,0.6,2.9,3.4,0.9,0.6,0.2,0.8,6.6,2.3
460,Thabo Sefolosha,HOU,Houston Rockets,Small Forward,1620564,36,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
461,Thaddeus Young,CHI,Chicago Bulls,Power Forward,12900000,31,57,19.5,8.8,1.7,4.1,0.9,2.5,0.4,0.7,0.6,0.9,1.5,1.2,1.4,0.7,0.8,6,1.6
462,Thanasis Antetokounmpo,MIL,Milwaukee Bucks,Small Forward,1445697,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,Theo Pinson,BKN,Brooklyn Nets,Shooting Guard,1445697,24,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
464,Thomas Bryant,WAS,Washington Wizards,Center,8000000,22,0,0,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
465,Thon Maker,DET,Detroit Pistons,Center,3569643,23,60,12.9,3.5,1.6,3.2,0.4,1.1,1.2,1.8,0.9,1.9,2.8,0.7,0.4,0.7,0.8,6.2,1.4
466,Tim Frazier,DET,Detroit Pistons,Point Guard,1620564,29,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
467,Tim Hardaway Jr.,DAL,Dallas Mavericks,Shooting Guard,20025127,28,50,10.7,12.4,2.1,3.1,0,0,0.5,0.8,1.8,2.5,4.3,0.3,0.2,0.5,0.5,8.3,1.9
468,Timothe Luwawu-Cabarrot,BKN,Brooklyn Nets,Shooting Guard,654469,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,TJ Leaf,IND,Indiana Pacers,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,Tobias Harris,PHI,Philadelphia 76ers,Small Forward,32742000,27,50,15.1,18.4,1.6,4.1,0.9,2.3,0.4,0.5,0.5,1.5,2,1.3,0.8,0.3,0.6,5.7,3
471,Tomas Satoransky,CHI,Chicago Bulls,Shooting Guard,10000000,28,51,11.9,9.7,1.5,3.7,1.1,2.8,0.5,0.7,0.6,1.8,2.4,0.6,0.1,0.1,0.4,5.1,2.1
472,Tony Bradley,UTA,Utah Jazz,Center,1962360,22,58,17.7,4.3,1.7,3.2,0.4,0.9,0.9,1.1,1.1,2.1,3.2,1.1,0.6,0.4,0.7,7.4,1.8
473,Tony Snell,DET,Detroit Pistons,Small Forward,11392857,28,58,16,7.9,1.6,3.8,0.9,2.4,0.5,0.7,0.3,1.6,1.9,1.7,0.5,0.1,0.6,5.5,1.9
474,Torrey Craig,DEN,Denver Nuggets,Small Forward,2000000,29,53,17.2,2.8,1.7,4.3,0.6,1.9,0.6,0.9,0.4,3.3,3.7,0.5,0.4,0.7,0.8,6.1,2
475,Trae Young,ATL,Atlanta Hawks,Point Guard,6273000,21,55,16.9,28.7,1.6,4.4,0.6,2.2,0.7,1,0.9,1.8,2.7,0.8,0.4,0.1,0.5,4.8,1.2
