Location,Hemisphere,Satellite,Source,Operator,Type,Coverage,Remarks,Launch Date,Rocket
125,W,Galaxy-14,US,Intelsat,,24 C Band transponders – North America,,8/13/2005, Soyuz-FG/Fregat
124.9,W,AMC-21,,,,,,,
123,W,Galaxy 18,US,Intelsat,Television and radio broadcasting,North America,Hybrid C/Ku-band satellite,5/21/2008, Zenit-3SL
121,W,Galaxy-23,US,Intelsat,Direct Broadcasting,North America,Hybrid C/Ku/Ka-band satellite; C band payload referred to as Galaxy-23,8/7/2003, Zenit-3SL
121,W,EchoStar-9,US,Echostar/DISH Network,Direct Broadcasting,North America,Hybrid C/Ku/Ka-band satellite; Ku/Ka-band payload referred to as EchoStar-9,8/7/2003, Zenit-3SL
119.1,W,DirecTV-7S,US,DirecTV,Direct Broadcasting,54 Ku-band transponders,8 active transponders at this time,5/4/2004, Zenit-3SL
118.8,W,EchoStar-7,US,Echostar/DISH Network,Direct Broadcasting,32 Ku-band transponders,21 active transponders at this time,2/21/2002, Atlas IIIB
118.7,W,Anik F3,Canada,Telesat Canada,Direct Broadcasting,24 C band transponders  32 Ku-band transponders  2 Ka-band transponders,Ku-Band leased to Echostar/Dish Network,4/11/2007, Proton
116.8,W,SatMex 5,Mexico,Satmex,,24 C band transponders  24 Ku-band transponders,,12/5/1998, Ariane 42L
116.1,W,SIRIUS-FM-6,,,,,,,
115.2,W,XM-Blues,US,,,,,10/30/2006, Zenit-3SL
115,W,Solidaridad-2,Mexico,Satmex,,,,10/8/1994, Ariane 44L
115.1,W,ViaSat-1,US,ViaSat,,,56 Ka-band Transponders,10/19/2011, Proton-M
115,W,EUTELSAT 115 West A,,,,,,,
114.8,W,MEXSAT-3,,,,,,,
113,W,Satmex 6,Mexico,Satmex,,,,5/27/2006, Ariane 5 ECA
113,W,EUTELSAT 113 West A,,,,,,,
111.2,W,WILDBLUE-1,US,ViaSat,,,,,
111.1,W,Anik F2,Canada,Telesat Canada,Direct Broadcasting,,Hybrid C/Ku/Ka-band satellite,7/17/2004, Ariane 5G
111,W,TERRESTAR-1,,,,,,,
110,W,EchoStar-11,US,Echostar/DISH Network,Direct Broadcasting,,,7/17/2008, Zenit-3SL
110,W,EchoStar-10,US,Echostar/DISH Network,Direct Broadcasting,,,2/15/2006, Zenit-3SL
110,W,DirecTV-5,US,DirecTV,Direct Broadcasting,,32 Ku-band transponders,5/7/2002, Proton
108,W,GOES-3,,,,,,,
107.3,W,Anik F1,Canada,Telesat Canada,Direct Broadcasting,,Hybrid C/Ku-band satellite; will be replaced by Anik F1R,11/21/2000, Ariane 44L
107.3,W,Anik F1R,Canada,Telesat Canada,Direct Broadcasting  WAAS PRN #138,,Hybrid C/Ku-band satellite; will replace Anik F1,9/8/2005, Proton
105,W,AMC-18,US,SES Americom,Direct Broadcasting,Canada  Caribbean  CONUS  Mexico,,12/8/2006, Ariane 5
