PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LATITUDE,LONGITUDE
Single Family Residential,Candleberry,Arlington,TX,76001,390990,4,3.5,Mayfield Farms 70s,3482,,,,112,,http://www.redfin.com/TX/Arlington/Mayfield-Farms-70s/Candleberry/home/170461099,NewHomeSource.com,32.6282833,-97.1547052
Single Family Residential,Almond,Arlington,TX,76001,387990,5,3.5,Mayfield Farms 70s,3215,,,,121,,http://www.redfin.com/TX/Arlington/Mayfield-Farms-70s/Almond/home/170461098,NewHomeSource.com,32.6282833,-97.1547052
Single Family Residential,Basswood,Arlington,TX,76001,318990,3,2,Mayfield Farms 70s,1813,,,,176,,http://www.redfin.com/TX/Arlington/Mayfield-Farms-70s/Basswood/home/170461097,NewHomeSource.com,32.6282833,-97.1547052
Single Family Residential,Cottonwood,Arlington,TX,76001,323990,3,2,Mayfield Farms 70s,1955,,,,166,,http://www.redfin.com/TX/Arlington/Mayfield-Farms-70s/Cottonwood/home/170461096,NewHomeSource.com,32.6282833,-97.1547052
Single Family Residential,Dublin,Arlington,TX,76002,409900,4,3.5,Edgefield,3813,,,,108,,http://www.redfin.com/TX/Arlington/Edgefield/Dublin/home/170031089,NewHomeSource.com,32.607707,-97.091635
Single Family Residential,Silverstone,Arlington,TX,76002,400900,3,2.5,Mayfield Farms,3290,,,,122,,http://www.redfin.com/TX/Arlington/Mayfield-Farms/Silverstone/home/171983209,NewHomeSource.com,32.627165,-97.100941
Single Family Residential,Eubanks by David Weekley Homes,Arlington,TX,76005,441990,4,3.5,Viridian,3518,,,,126,,http://www.redfin.com/TX/Arlington/Viridian/Eubanks-by-David-Weekley-Homes/home/142942595,NewHomeSource.com,32.7954878,-97.0782004
Single Family Residential,Brookstone I,Arlington,TX,76002,327900,3,2,Edgefield,2163,,,,152,,http://www.redfin.com/TX/Arlington/Edgefield/Brookstone-I/home/170031090,NewHomeSource.com,32.607707,-97.091635
Single Family Residential,Brookstone II,Arlington,TX,76002,355900,3,2,Mayfield Farms,2525,,,,141,,http://www.redfin.com/TX/Arlington/Mayfield-Farms/Brookstone-II/home/171983210,NewHomeSource.com,32.627165,-97.100941
Single Family Residential,Brimstone,Arlington,TX,76002,325900,3,2,Edgefield,2061,,,,158,,http://www.redfin.com/TX/Arlington/Edgefield/Brimstone/home/170031091,NewHomeSource.com,32.607707,-97.091635
Single Family Residential,Ashstone,Arlington,TX,76002,324900,3,2,Edgefield,2134,,,,152,,http://www.redfin.com/TX/Arlington/Edgefield/Ashstone/home/170031092,NewHomeSource.com,32.607707,-97.091635
Single Family Residential,Silverstone,Arlington,TX,76002,380900,3,2.5,Edgefield,3290,,,,116,,http://www.redfin.com/TX/Arlington/Edgefield/Silverstone/home/170031093,NewHomeSource.com,32.607707,-97.091635
Single Family Residential,Pixley,Arlington,TX,76005,348990,3,2,Viridian Cottage,1701,,,,205,,http://www.redfin.com/TX/Arlington/Viridian-Cottage/Pixley/home/169931479,NewHomeSource.com,32.79401,-97.083271
Single Family Residential,Verona,Arlington,TX,76005,532900,3,2.5,Viridian - Elements,2889,,,,184,,http://www.redfin.com/TX/Arlington/Viridian-Elements/Verona/home/167661640,NewHomeSource.com,32.809532,-97.073524
