Year,Country,Location,Latitude,Longitude,Focal Depth (km),Mag,Deaths
1862,NICARAGUA,CHINANDEGA,12.7,-87,,,
1983,PERU,CHIMBOTE,-4.843,-78.103,104,6.5,10
1674,ECUADOR,"CHIMBORAZO,BOLIVAR,QUITO",-1.7,-79,,7.7,
1976,GUATEMALA,"CHIMALTENANGO, GUATEMALA CITY",15.324,-89.101,5,7.5,23000
1994,TAIWAN,"CHI-LUNG, I-LAN, TAIPEI, NAN-AO",24.511,121.905,11,6.4,1
1867,TAIWAN,CHILUNG (KEELUNG),25.34,121.91,,7,
1937,MEXICO,"CHILPANCINGO,TIXTLA",17.3,-99.3,,,
1953,CHILE,"CHILLAN, CONCEPCION",-36.5,-72.5,60,7.6,9
1939,CHILE,CHILLAN,-36.25,-72.25,60,8.3,30000
1705,CHILE,CHILE,-18.6,-70.2,,,
-250,KYRGYZSTAN,CHIGUCHIN,42.7,77.5,20,6.7,
2019,MEXICO,CHIAPAS; GUATEMALA,14.763,-92.298,68,6.6,
1914,MEXICO,CHIAPAS,16.8,-92.2,150,7.5,
1954,MEXICO,CHIAPAS,17.3,-92.6,100,6.2,6
1982,MEXICO,CHIAPAS,17.25,-93.21,9,3.5,10
2014,THAILAND,CHIANG RAI,19.656,99.67,6,6.1,1
1998,TAIWAN,"CHIA-I, TAINAN, HUALIEN, KAO-HSIUNG",23.407,120.736,13,5.7,5
1999,TAIWAN,CHIA-I,23.445,120.506,33,5.9,1
2013,RUSSIA,CHELYABINSK (METEOR EXPLOSION),55.15,61.41,,4.2,
1350,GEORGIA,"CHEGEM GORGE, CHREBALO",43,43,20,6.5,
1909,GREECE,CHAVARI (ELIS),37.9,21.5,4,5.7,
2016,MYANMAR (BURMA),CHAUK,20.923,94.569,82,6.8,4
1873,FRANCE,"CHATEAUNEUF-DU-RHONE,DONZERE,VIVIERS",44.5,4.7,,,
1855,FRANCE,"CHASTEUIL,TAULANNE,CASTELLANE,TALOIRE",43.8,6.4,,,
1990,SOUTH AFRICA,CHARLETONVILLE,-26.39,27.349,5,4,10
1886,USA,CHARLESTON,32.9,-80,,7.3,60
1895,USA,CHARLESTON,37,-89.4,,,
842,UK,CHANNEL ISLANDS; GAUL,49.5,-2.5,,,
1991,PANAMA,"CHANGUINOLA, ALMIRANTE, BOCAS DEL TORO",9.542,-82.418,10,6.2,
1817,FRANCE,CHAMONIX VALLEY,45.9,6.8,,8,4
1991,INDIA,"CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH",30.78,78.774,10,7,2000
1999,INDIA,"CHAMOLI, RUDRAPRAYAG, TEHRI GARHWAL",30.512,79.403,15,6.6,100
2010,INDIA,CHAMOLI,30.099,80.026,36,4.5,
1892,PAKISTAN,"CHAMAN,BALUCHISTAN",30.5,66.2,,,
1932,GREECE,CHALKIDIKI,40.5,23.8,,6.2,
1843,GREECE,CHALKI (DODECANESE),36.3,27.5,,,
1986,USA,CHALFANT VALLEY,37.537,-118.447,9,6.2,
2009,INDIA,CHAIBASA,22.399,85.903,10,4.1,
1830,IRAN,"CHAHARDANGEH,SEMNAN,DAMGHAN",36.4,54.3,,6.5,
1983,UK TERRITORY,CHAGOS ARCHIPELAGO,-6.852,72.11,10,7.6,
1991,COLOMBIA,"CHACO, BUENAVENTURA, CALI",4.554,-77.442,21,6.4,2
1928,PERU,"CHACAHPOYAS,HUANCABAMBA,CAJAMARCA,PINPINCOS",-5,-78,,7.3,29
1952,TURKEY,"CEYHAN,MISIS",36.5,35.5,,5,20
2000,TURKEY,"CERKES, CUBUK, ORTA",40.693,32.992,10,6,2
1636,GREECE,CEPHALONIA,38.1,20.3,,7.2,520
1867,GREECE,CEPHALONIA,38.4,20.2,100,7.9,200
1939,INDONESIA,CENTRTAL SULAWESI,0,123,150,8,
1986,CHILE,"CENTRAL, VALPARAISO",-33.071,-72.084,33,5,
1937,MEXICO,"CENTRAL, PUEBLA",18.8,-97.5,,7.7,34
1932,MEXICO,"CENTRAL, COLIMA",19.081,-103.631,15,7.8,
1983,USA,"CENTRAL, COALINGA",36.219,-120.317,10,6.2,
1972,ITALY,"CENTRAL, ANCONA",43.8,13.3,25,4.8,1
1912,MEXICO,"CENTRAL, ACAMBAY, TIXMADEJE",19.9,-99.8,,7.8,
1960,INDONESIA,CENTRAL SULAWESI,-0.5,121.5,,,
1983,INDONESIA,CENTRAL SULAWESI,1.131,120.858,33,6.1,2
1985,CHILE,"CENTRAL COAST, SAN ANTONIO, VALPARAISO",-33.132,-71.708,40,8,180
1703,ITALY,"CENTRAL APENNINO, NORCIA, L'AQUILA, PERUGIA",42.78,13.1,,,40000
2007,TURKEY,CENTRAL,39.417,33.212,10,5.7,
1979,ITALY,CENTRAL,42.812,13.061,16,5.8,5
2013,GREECE,CENTRAL,38.689,22.695,0,5.5,
2004,USA,CENTRAL,35.819,-120.364,9,6,
2008,PERU,CENTRAL,-10.368,-75.512,33,5.5,
1984,USA,CENTRAL,37.32,-121.698,8,6.1,
1997,ITALY,CENTRAL,43.048,12.879,10,5.7,
1997,ITALY,CENTRAL,43.084,12.812,10,6,14
1998,ITALY,CENTRAL,43.164,12.701,10,5.2,
2002,CHILE,CENTRAL,-29.67,-71.384,71,6.4,
2007,TURKEY,CENTRAL,39.446,33.162,8,5.6,
1998,BOLIVIA,CENTRAL,-17.731,-65.431,24,6.6,105
1984,ITALY,CENTRAL,43.26,12.558,12,5.3,3
1461,ITALY,CENTRAL,42.3,13.5,,,
1838,CHILE,CENTRAL,-36.7,-73.1,,,
1859,ITALY,CENTRAL,43.4,11.3,,,
1868,CHILE,CENTRAL,-36.7,-73.2,,,
1868,CHILE,CENTRAL,-33.1,-71.7,,,
1871,CHILE,CENTRAL,-35,-72.5,,7.5,
1878,CHILE,CENTRAL,-36.8,-73,,,
1905,ITALY,CENTRAL,42.1,13.9,,,
1909,ITALY,CENTRAL,43.2,11.5,,,
1909,ITALY,CENTRAL,43.2,11.5,,,
1917,ITALY,CENTRAL,42.5,12.7,,,
1917,ITALY,CENTRAL,43.6,13.7,,,
1919,ITALY,CENTRAL,43.5,12.1,,,
1921,ITALY,CENTRAL,43.2,13.2,,,
1921,ITALY,CENTRAL,42.7,12,,,
1923,ITALY,CENTRAL,43.7,12,,,
1924,ITALY,CENTRAL,43.8,13.2,,,
1924,ITALY,CENTRAL,42.5,12.7,,,
1925,ITALY,CENTRAL,43.2,10.9,,,
1925,ITALY,CENTRAL,43.2,10.8,,,
1927,ITALY,CENTRAL,42.9,13.1,,,
1928,ITALY,CENTRAL,42.9,11.6,,,
1930,ITALY,CENTRAL,43.7,13.3,,,
1931,CHILE,CENTRAL,-32.5,-72,33,7.1,
1931,ITALY,CENTRAL,42.7,13,,,
1932,MEXICO,CENTRAL,19.242,-104.383,25,7.7,
1933,ITALY,CENTRAL,42,14.2,33,,10
1935,ITALY,CENTRAL,42.9,12.7,,,
1943,ITALY,CENTRAL,43.1,13.3,,,
1949,ITALY,CENTRAL,42.5,12.7,,,
1959,ITALY,CENTRAL,42.9,12.6,,,
1960,CHILE,CENTRAL,-37.872,-73.243,35,8.2,
1962,CHILE,CENTRAL,-37.8,-72.5,45,7.3,
1965,CHILE,CENTRAL,-31.81,-71.26,58,6,
1965,CHILE,CENTRAL,-32.4,-71.2,61,7.3,400
1966,GREECE,CENTRAL,39.2,22,38,6.3,1
1966,GREECE,CENTRAL,39.2,21.2,20,5.7,1
1971,CHILE,CENTRAL,-32.5,-71.2,58,7.8,83
1972,CHILE,CENTRAL,-30.5,-71.8,39,6.6,
1972,CHILE,CENTRAL,-30.6,-71,60,5.4,
1975,CHILE,CENTRAL,-38.18,-73.23,6,7.7,
1981,PERU,CENTRAL,-13.166,-74.522,24,5.2,10
1981,PAKISTAN,CENTRAL,29.856,66.962,33,4,6
1999,TAIWAN,CENTRAL,23.738,121.158,17,6.5,
2006,PERU,CENTRAL,-13.457,-76.677,23,6.7,
2015,CHILE,CENTRAL,-31.573,-71.674,22,8.3,7
2010,PHILIPPINES,CELEBES SEA,6.486,123.467,586,7.6,
1908,INDONESIA,CELEBES SEA,3,123,,7.5,
1935,INDONESIA,CELEBES SEA,5.5,94,,6.5,
1972,INDONESIA,CELEBES SEA,3.9,124.3,325,7.8,
1983,INDONESIA,CELEBES,1.084,121.052,40,6,
1932,USA,CEDAR MOUNTAIN,38.7,-117.8,,7.2,
1922,PHILIPPINES,"CEBU ISLAND, MACTAN ISLAND",10.2,124.1,,6.3,5
1922,PHILIPPINES,CEBU I,10.2,123.5,,,
1774,FRENCH GUIANA,CAYENNE,4.9,-52.3,,,
1928,FRANCE,"CAURO,COTI-CHIAVARI",44.2,9.2,,,
1920,GEORGIA,CAUCASUS,42,44.1,11,6.2,
2008,RUSSIA,CAUCASUS,43.372,46.254,16,5.7,13
1652,RUSSIA,CAUCASUS,42.1,47.7,10,5.8,
1885,RUSSIA,CAUCASUS,41.9,47.8,3,4,
1905,GEORGIA,CAUCASUS,42,42,60,7.5,
2007,COLOMBIA,"CAUCA, SOTARA, PURACE,",2.082,-76.495,43,5,
2013,COLOMBIA,"CAUCA, NARINO, VALLE DEL CAUCA, RISARALDA",1.135,-77.393,145,7,
1994,COLOMBIA,"CAUCA, HUILA",2.917,-76.057,12,6.8,650
2019,COLOMBIA,"CAUCA, HUILA",3.035,-75.738,10,5.6,1
1914,ITALY,"CATANIA, ETNA",37.7,15.2,,4.9,120
2004,ARGENTINA,CATAMARCA,-28.573,-65.84,22,6.1,1
1971,CHILE,"CATALINA, ANTOFAGASTA",-25.5,-69.2,93,6.3,1
2005,TURKEY,"CAT, KARLIOVA",39.44,40.978,11,5.6,
1906,SAINT LUCIA,CASTRIES,14,-61,,,
1835,ITALY,"CASTIGLIONE,COSENZA,CRATI",39.3,16.3,,,100
743,RUSSIA,CASPIAN SEA,42.1,48.2,20,5.5,
1962,PERU,"CASMA,HUARAZ,QUIRUVILCA,TRUJILLO",-10,-79,39,6.3,9
1900,VENEZUELA,"CASANAY (CASANAI),CARIACO",10.3,-63.3,,,
1796,ITALY,CASAMICCIOLA,40.5,13.9,,,7
1968,VENEZUELA,CARUPANO,10.697,-62.748,103,6.5,3
1841,COSTA RICA,CARTAGO; NICARAGUA,10,-84,,,
1910,COSTA RICA,"CARTAGO, SAN JOSE",10,-84,,,700
1799,COLOMBIA,CARTAGO,7.5,-73.5,,5,
1910,COSTA RICA,CARTAGO,9.8,-84,,,1750
1991,COSTA RICA,CARTAGO,9.737,-84.054,5,4.7,
1851,COLOMBIA,CARTAGENA,10.4,-75.4,,,
1920,ITALY,"CARRARA,GARFAGNANA",44.3,10.3,10,5.8,1400
1872,UKRAINE,CARPATHIANS,48.4,23.3,5,4.3,
1802,ROMANIA,"CARPATHIAN FOLD,VRANCEA",45.7,26.6,150,7.4,
1838,ROMANIA,"CARPATHIAN FOLD,VRANCEA",45.7,26.6,150,6.9,
1911,"MICRONESIA, FED. STATES OF",CAROLINE ISLANDS,7,137,17,7.7,
1912,"MICRONESIA, FED. STATES OF",CAROLINE ISLANDS,7,138,50,7.5,
1912,"MICRONESIA, FED. STATES OF",CAROLINE ISLANDS,7,138,33,6.9,
1914,PALAU,CAROLINE ISLANDS,6,132.5,60,7.6,
1504,SPAIN,CARMONA,37.3,-5.4,,,
2009,SOUTH AFRICA,CARLETONVILLE,-26.414,27.494,2,3.5,2
1690,AUSTRIA,CARINTHIE,46.6,13.8,,,20
1982,CANADA,"CARIBOU, HAYNESVILLE, PRESQUE ISLE",46.975,-66.659,7,4.5,
1997,VENEZUELA,CARIACO-CUMANA,10.598,-63.486,20,7,81
2008,VENEZUELA,CARIACO-CUMANA,10.514,-64.171,13,5.2,
1823,VENEZUELA,"CARIACO, MARGARITA ISLAND",10.5,-63.8,,,
2010,VENEZUELA,CARIACO,10.454,-63.475,8,5.5,
1914,PERU,"CARAVELI,NAZCA,ICA,ATICO",-15.5,-73.2,,,
1913,PERU,"CARAVELI, CHUQUIBAMBA, OCONA, ATICO",-17,-74,33,7.9,
2001,PERU,"CARAVELI, CHALA, ARICA, IQUIQUE, PARINACOTA",-16.086,-73.987,62,6.6,
1922,PERU,CARAVELI,-16,-72.5,,7.4,
2004,CHILE,"CARAHUE, IMPERIAL, TEMUCO",-38.854,-73.155,38,5.9,
1894,VENEZUELA,CARACHE,9.4,-70.1,,,
1641,VENEZUELA,"CARACAS,LA GUAIRA,CUA",10.9,-66.7,,,
1906,VENEZUELA,CARACAS,10.5,-66.917,,,
2009,VENEZUELA,CARABOBO,10.705,-67.92,10,6.3,
1747,PERU,CARABAYA PROVINCE,-13.9,-70.35,20,,
1922,COLOMBIA,"CAQUETA, PUTUMAYO",2.5,-71,600,7.6,
1853,ITALY,"CAPOSELE,CALABRITTO,LIONI",40.9,15.2,,,12
1842,HAITI,CAP-HAITIEN,19.75,-72.2,,8.1,5000
1899,USA,CAPE YAKATAGA,60,-142,25,8.2,
1899,USA,CAPE YAKATAGA,60,-140,25,7.8,
1969,SOUTH AFRICA,CAPE PROVINCE,-32.9,19.7,33,6.3,12
1809,SOUTH AFRICA,CAPE OF GOOD HOPE,-33.88,18.45,,,
1875,TURKEY,"CAPALI, DINAR, CIVRIL, YAKA",38.1,30.2,,7.3,1300
2002,USA,"CANTWELL, DENALI NATL PARK",63.514,-147.912,4,6.7,
1902,TURKEY,CANKIRI,40.7,33.6,,5.5,4
1948,PERU,CANETE,-13.1,-76.2,55,6.8,4
2004,CHILE,CANETE,-37.695,-73.406,21,6.6,
2017,TURKEY,CANAKKALE,39.599,26.065,10,5.3,
1942,ARGENTINA,"CANADA,SECA,LAS MALVINAS",-34.6,-67.9,,,
1857,ITALY,"CAMPANIA, POTENZA",40.3,16,,6.5,10000
324,ITALY,CAMPANIA,40.5,14.5,,,
344,ITALY,CAMPANIA,40.5,14.5,,,
1871,PHILIPPINES,CAMIGUIN ISLAND,9.203,124.673,,,
1799,ITALY,CAMERINO,43.1,13,,,60
1799,ITALY,CAMERINO,43.1,13.1,,,
1990,TURKEY,"CAMELI, DENIZLI",36.99,29.595,17,5.1,
854,FRANCE,"CAMBRAI,TOURNAI,MAYENCE",50.1,3.1,,,
1853,PHILIPPINES,"CAMARINES, DAET",14,123,,,
1811,PHILIPPINES,CAMARINES,13.1,123.9,,,
1821,PERU,"CAMANA, OCONA, CARAVELI",-16.107,-72.967,,,162
1999,PERU,"CAMANA, AREQUIPA",-16.66,-72.662,87,6.8,1
1725,PERU,CALLAO,-16.6,-72.7,50,,
1847,PERU,CALLAO,-12.1,-77.1,,,
1865,PERU,CALLAO,,,,,
1871,PERU,CALLAO,-13,-77,,,
1877,PERU,CALLAO,-12.07,-77.15,,,
1878,PERU,CALLAO,-12,-77,,,
1914,PERU,CALLAO,-12,-76.6,33,,
1694,ITALY,CALITRI,40.7,15.7,,,4057
1910,ITALY,CALITRI,40.9,15.4,33,5.9,
1995,COLOMBIA,"CALI, PEREIRA, ARMENIA, CALARCA",4.104,-76.622,74,6.4,45
1954,MYANMAR (BURMA),"CALCUTTA, CUTTACK, BHAGALPUR",24.5,95.3,180,7.4,
1737,INDIA,CALCUTTA,,,,,
1857,ITALY,"CALABRIA,MONTEMURRO",39.4,16.4,,,10000
1757,ITALY,"CALABRIA,COSENZA",39.3,16.2,,,
1870,ITALY,CALABRIA,,,,,
1939,ITALY,CALABRIA,38.5,14.7,15,,
1941,ITALY,CALABRIA,38.3,12.2,,,
1992,EGYPT,CAIRO,29.778,31.144,22,5.3,545
2002,EGYPT,CAIRO,30.2,31.41,10,4.4,
1854,FRANCE,"CAGNES, BAR, ST PAUL, GRASSE, MENTON, NICE",43.8,7.9,,,
2012,PHILIPPINES,"CAGAYAN DE ORO, TACLOBAN",10.811,126.638,28,7.6,1
-241,SPAIN,CADIZ,36,-8.5,,,
-216,SPAIN,CADIZ,36.2,-7.17,,,
382,PORTUGAL,CABO SAN VICENTE,36,-10.83,,7.5,
1320,PORTUGAL,CABO SAN VICENTE,36,-10.7,,,
-210,PORTUGAL,CABO SAN VICENTE,36,-10.5,,,
-60,PORTUGAL,CABO SAN VICENTE,36,-10,,6.7,
1539,HONDURAS,CABO DE HIGUERAS,16.2,-88.5,,,
1962,IRAN,BUYIN-ZARA,35.63,49.87,27,7.2,12225
1923,PHILIPPINES,"BUTUAN, CAMIGUIN ISLAND",9.3,125,,5.5,
1952,PHILIPPINES,BUTUAN,9.5,127.25,,7.8,
1182,SYRIA,BUSRA; ISRAEL,32.6,36.7,,6.7,
1151,SYRIA,BUSRA,32.6,36.7,,6.2,
1950,IRAN,BUSHIRE,27.3,53.2,,,20
2013,IRAN,BUSHEHR PROVINCE,28.428,51.593,12,6.3,37
1876,INDONESIA,"BURU ISLAND, CERAM SEA",-3,127.25,50,6.8,
1885,INDONESIA,"BURU I, AMBON I, HARUKU I",-2.5,127.5,,7.3,
1855,TURKEY,BURSA,40.2,29.1,,,400
1855,TURKEY,BURSA,40.2,29.1,,6.7,1300
1857,TURKEY,BURSA,40.2,29,,,
1003,FRANCE,BURGUNDY,47,6,,,
1914,TURKEY,"BURDUR, KILINC, KECIBORLU, ISPARTA",37.82,30.27,,7,4000
1971,TURKEY,BURDUR,37.6,29.8,23,5.9,100
2002,TANZANIA,BUNDA,-2.907,33.733,10,5.5,2
1863,IRAN,BULGAVAR (SE ARDABIL),38.1,48.2,,,
942,UZBEKISTAN,BUKHARA,39.7,64.5,20,6.7,
1390,UZBEKISTAN,BUKHARA,39.8,64.4,20,6.1,
2008,CONGO,BUKAVU,-2.296,28.9,10,5.9,38
2015,RWANDA,BUKAVU,-2.141,28.897,11,5.8,3
1766,COLOMBIA,"BUGA,CALI,POPAYAN",3.7,-76.3,,,
1877,COLOMBIA,BUENAVENTURA,3.88,-77.08,,,
1906,COLOMBIA,BUENAVENTURA,3.9,-77.033,,,
1909,CAMEROON,BUEA,4.2,9.2,,,
2006,HUNGARY,BUDAPEST,47.449,19.343,5,4.1,
1986,ROMANIA,"BUCHAREST, KISHINEV-KAGUL",45.547,26.316,132,6.9,2
2004,ROMANIA,"BUCHAREST, BRAILA; BULGARIA",45.787,26.622,96,5.8,
1990,ROMANIA,"BUCHAREST, BRAILA, BRASOV",45.841,26.668,89,6.7,14
1829,ROMANIA,BUCHAREST,44.2,26.1,,,
1977,ROMANIA,BUCHAREST,45.777,26.703,89,7.5,1641
1752,PORTUGAL,"BUARCOS, AVEIRO",40.4,-8.7,,,
1970,INDIA,BROACH,21.7,73,3,5.4,26
1938,CANADA,BRITISH COLUMBIA,52.2,-131.9,16,6.3,
1048,UK,BRITIAN,52,0,,,
1821,UK TERRITORY,BRITIAN,-15.95,-5.7,,,
1222,ITALY,BRESCIA,45.55,10.22,,,12000
1879,IRAN,"BOZQUSH, ARDABIL, GAMRUD, TARK, MANAN",37.8,47.9,,6.7,2000
1993,IRAN,BOVIR AHMADI VA KOHKILUYEH,30.692,50.886,30,5.1,
1993,IRAN,BOVIR AHMADI VA KOHKILUYEH,30.149,50.814,33,5.4,24
2004,SLOVENIA,"BOVEC, KOBARID",46.296,13.641,8,5.2,1
1941,TUNISIA,"BOU-SAADIAH,ZAGHOUAN",36,10,,,
1891,ALGERIA,"BOURAVA, GOURAYA",36.5,1.8,,,36
2004,ALGERIA,BOUMERDAS,36.848,3.448,10,4.5,
1959,ALGERIA,BOU-MEDFA,36.4,2.6,,5.5,
1939,PAPUA NEW GUINEA,BOUGAINVILLE ISLAND,-7.08,155.386,35,7.7,5
1996,SOLOMON ISLANDS,BOUGAINVILLE ISLAND,-6.518,154.999,44,7.2,1
2014,PAPUA NEW GUINEA,BOUGAINVILLE ISLAND,-6.586,155.049,61,7.1,1
2017,PAPUA NEW GUINEA,BOUGAINVILLE ISLAND,-6.246,155.172,135,7.9,3
1602,JAPAN,BOSO,35.1,140.5,,7.2,
1990,BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA,43.853,16.633,24,5.6,
1986,BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA,44.12,16.339,30,5.5,
1969,BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA,44.9,17.2,33,6.4,9
1969,BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA,44.9,17.3,33,6,14
1981,BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA,44.849,17.312,16,5.5,
1386,BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA,44.2,17.7,,,
1943,BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA,44.3,17,,,19
1962,BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA,43.6,18.3,,6.3,
2015,BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA,44.534,18.934,7,3.6,4
1155,ITALY,BORGOGNE,45.8,8.1,,,
1834,ITALY,BORGO VAL DI TARO,44.3,9.4,,,60
1885,ALGERIA,"BORDJOU, ARRERIDJ",,,,,
1922,ALGERIA,"BORDJ ABOU EL HASEN, DAHRA",36.3,1.3,,5.1,
2013,IRAN,BORAZJAN,29.275,51.313,4,5.7,8
1983,USA,"BORAH PEAK, CHALLIS, MACKAY",43.974,-113.916,14,7.3,2
2006,PANAMA,BOQUETE,8.898,-82.543,,4.5,
1979,IRAN,BONZANABAD,33.897,59.472,33,6.8,200
1826,JAPAN,BONIN ISLANDS [CHICHIJIMA ISLAND],27.07,142.21,,,
1872,JAPAN,BONIN ISLANDS [CHICHIJIMA ISLAND],27.07,142.21,,,
2015,JAPAN,BONIN ISLANDS [CHICHIJIMA ISLAND],27.839,140.493,664,7.8,
1968,JAPAN,BONIN ISLANDS,26.3,140.6,516,7.5,
2010,JAPAN,BONIN ISLANDS,26.901,143.698,14,7.4,
1618,INDIA,BOMBAY,18.9,72.9,,,2000
1999,TURKEY,"BOLU-DUZCE-KAYNASLI, ADAPAZARI, ZONGULDAK",40.758,31.161,10,7.2,894
1475,KYRGYZSTAN,BOLOSAGUN,42.6,75.2,5,6.4,
2007,LAOS,BOKEO;  THAILAND,20.504,100.746,24,6.3,
1997,IRAN,"BOJNURD, SHIRVAN, ESFARAYEN",37.661,57.291,10,6.5,88
1879,IRAN,BOJNURD,37.5,57.4,15,6.7,700
853,ITALY,BOIANO,41.5,14.5,,,
2013,PHILIPPINES,"BOHOL, CEBU, SIQUIJOR IS",9.88,124.117,19,7.1,222
1990,PHILIPPINES,"BOHOL, CEBU, CAGAYAN DE ORO, CAMIGUIN",9.755,124.694,26,6.6,
2004,PHILIPPINES,BOHOL ISLAND,9.926,124.038,35,4.1,
2007,PHILIPPINES,BOHOL ISLAND,9.721,124.647,72,5.1,1
1969,CHINA,BOHAI SEA,38.2,119.4,6,7.4,
1888,CHINA,BOHAI GULF,38.5,119,,7.5,
1869,COLOMBIA,BOGOTA; VENEZUELA,7.7,-73.3,,,
1785,COLOMBIA,"BOGOTA,ENGATIVA,CAXICA,SOACHA",4.6,-74,,,12
1917,COLOMBIA,"BOGOTA, UBAQUE, SOACHA, CAQUEZA",4,-74,40,7.3,6
1827,COLOMBIA,"BOGOTA, NEIVA, POPAYAN, PASTO, HUILA",1.8,-76.4,,7,250
1995,COLOMBIA,"BOGOTA, MANIZALES, MIRAFLORES",5.05,-72.916,17,6.5,7
1974,COLOMBIA,"BOGOTA, CALI, PEREIRA",7.75,-77.69,12,7.3,11
1743,COLOMBIA,BOGOTA,4.5,-73.8,,,
1923,IRAN,BODZHNURD,37.6,57.3,10,5.5,
2017,TURKEY,"BODRUM, DATCA; GREECE",36.929,27.414,7,6.6,2
2004,TURKEY,BODRUM,36.833,27.815,10,5.6,
1904,PANAMA,BOCAS DEL TORO,9.2,-82.8,60,7.2,
1498,VENEZUELA,BOCA DE LA SIERPE,9.9,-62.3,,,
1988,ALGERIA,"BLIDA, MEDEA-ALGIERS",36.443,2.759,12,5.6,
1825,ALGERIA,"BLIDA, ALGIERS",36.4,2.8,,,7000
2014,ALGERIA,BLIDA,36.492,3.025,7,4.9,
1615,UKRAINE,BLACK SEA,44.9,35.5,,5.7,
1905,RUSSIA,BLACK SEA,44.5,37.5,,5.1,
1966,RUSSIA,BLACK SEA,44.75,37,33,5.5,
1970,RUSSIA,BLACK SEA,43.84,39.34,7,5.1,
1905,TUNISIA,BIZERTE,37.3,9.9,,,
-50,BULGARIA,"BISONE [KAVARNA], DIONISOPOLIS [BALCHIK]",43.5,28.5,,,
1899,PAPUA NEW GUINEA,BISMRACK SEA,-5,148,,,
1971,PAPUA NEW GUINEA,BISMARCK SEA  RABAUL,-4.9,153.2,48,7.9,
1975,PAPUA NEW GUINEA,BISMARCK SEA,-6.59,155.054,49,7.9,
1857,PAPUA NEW GUINEA,BISMARCK SEA,-5.5,147,,8,
1878,PAPUA NEW GUINEA,BISMARCK SEA,-4.25,152.25,,,
1900,PAPUA NEW GUINEA,BISMARCK SEA,-4,152,,6.8,
1905,PAPUA NEW GUINEA,BISMARCK SEA,-4,149,60,7.5,
1906,PAPUA NEW GUINEA,BISMARCK SEA,-4,149,,7.2,
1907,PAPUA NEW GUINEA,BISMARCK SEA,-3.1,142.5,33,7.4,
1922,PAPUA NEW GUINEA,BISMARCK SEA,-7.111,143.53,15,6.9,
1930,PAPUA NEW GUINEA,BISMARCK SEA,-4.423,145.46,35,6.6,
1930,PAPUA NEW GUINEA,BISMARCK SEA,-1.3,144.3,33,6.5,
1931,PAPUA NEW GUINEA,BISMARCK SEA,-3.417,142.077,35,7,
1941,PAPUA NEW GUINEA,BISMARCK SEA,-4.175,152.071,15,7.4,4
1949,PAPUA NEW GUINEA,BISMARCK SEA,-5.5,154,60,7.5,
1951,PAPUA NEW GUINEA,BISMARCK SEA,-3.252,142.238,25,6.1,
1955,PAPUA NEW GUINEA,BISMARCK SEA,-5.1,152.924,35,7.3,
1967,PAPUA NEW GUINEA,BISMARCK SEA,-4.4,152.5,30,6.4,
1969,PAPUA NEW GUINEA,BISMARCK SEA,-6.6,146.9,17,5.4,
1971,PAPUA NEW GUINEA,BISMARCK SEA,-6.5,146.6,115,7,
1923,PAPUA NEW GUINEA,BISMARCK ARCHIPELAGO,-4.653,154.232,145,7.1,
1923,PAPUA NEW GUINEA,BISMARCK ARCHIPELAGO,-4.539,153.107,149,7.1,
1869,ALGERIA,BISKRA,34.9,5.9,,,40
1887,ITALY,BISIGNANO,39.6,16.3,,,
1997,IRAN,"BIRJAND, QAYEN",33.938,59.475,10,5.9,
1998,IRAN,"BIRJAND, GONABAD",32.457,59.976,33,5.8,12
1997,IRAN,"BIRJAND, GHAEN",33.825,59.809,10,7.2,1728
1971,TURKEY,BINGOL,38.8,40.5,3,6.7,1000
2003,TURKEY,BINGOL,39.007,40.464,10,6.4,177
2020,TURKEY,BINGOL,39.421,40.697,10,5.9,1
1934,NEPAL,BIHAR,26.773,86.762,35,8,10600
1992,USA,"BIG BEAR LAKE, BIG BEAR CITY",34.203,-116.827,5,6.7,
2003,USA,BIG BEAR CITY,34.31,-116.848,1,5.2,
1874,BANGLADESH,BHOLA,22,89,,,
1863,FRANCE,"BEYNES,MEZEL",44,6.2,,,
2017,RUSSIA,BERING ISLAND,54.443,168.857,10,7.7,
2006,HUNGARY,BEREGDAROC,48.195,22.46,10,4.8,
1997,ALBANIA,"BERAT, URA VAJGURORE, GRAMSH, CERRIK",40.956,19.672,10,4.7,
1851,ALBANIA,BERAT,40.5,19.7,,,400
1596,JAPAN,BEPPU BAY,33.3,131.7,,6.9,
1597,JAPAN,BEPPU BAY,33.3,131.6,,6.4,
1969,EGYPT,"BENI-SOUEF, AL-QAHIRAH (CAIRO)",27.7,34,33,7,2
1875,PHILIPPINES,BENGUET,16.3,120.3,,,
369,ITALY,BENEVENTO,41.1,14.8,,,
985,ITALY,BENEVENTO,41.1,14.8,,,
