Year,Country,Location,Latitude,Longitude,Focal Depth (km),Mag,Deaths
2008,INDIA,WEST BENGAL,23.433,87.111,10,4.3,1
2018,INDIA,WEST BENGAL,26.374,90.165,10,5.3,1
2013,USA,WEST,31.817,-97.088,0,2.1,14
2008,USA,WELLS,41.153,-114.867,7,6,
1855,NEW ZEALAND,"WELLINGTON,WAIOURU,WANGANUI,OTAKI",-41.25,175,33,8,
1991,NEW ZEALAND,"WELLINGTON, WANGANUI",-40.25,175.053,88,5.6,
2013,NEW ZEALAND,"WELLINGTON, MARLBOROUGH",-41.731,174.027,12,6.5,
2014,NEW ZEALAND,"WELLINGTON, MANAWATU-WANGANUI",-40.66,175.814,28,6.1,
1897,NEW ZEALAND,WELLINGTON,,,,,
1990,SOUTH AFRICA,WELKOM,-28.014,26.727,5,4.2,2
1843,NEW ZEALAND,WANGANUI,-39.9,175,33,7.5,
1984,UK,WALES,52.878,-4.198,13,4.7,
1975,TURKEY,"W; CANAKKALE, ECEABAT, GELIBOLU, LAPSEKI",40.42,26.14,5,6.7,
1960,PAPUA NEW GUINEA,W. SOLOMON SEA,-9.4,152.3,33,6.6,
1990,JAPAN,"W. OF BONIN ISLANDS, IZU IS.",33.267,138.643,10,6.5,
1905,PHILIPPINES,W. LUZON ISLAND,11,123.5,,6.5,
1627,PHILIPPINES,W. LUZON ISLAND,18.4,121.6,,8,
1915,PHILIPPINES,W. LUZON ISLAND,18,119.5,,6.4,
1792,JAPAN,W. HOKKAIDO ISLAND,43.5,140.6,,6.9,
1940,JAPAN,W. HOKKAIDO ISLAND,44.2,139.5,10,7.5,
1987,IRAN,"W, NAHAVAND-HAMADEN-TUYSARKAN",34.076,48.266,41,4.6,2
1980,ECUADOR,"W, GUAYAQUIL",-1.948,-80.017,55,5.6,8
1979,NEW ZEALAND,W OF NORTH ISLAND,-46.675,165.707,33,7.5,
1981,NEW ZEALAND,W OF NORTH ISLAND,-48.786,164.357,33,7.6,
1871,PHILIPPINES,W MINDANAO,7.4,124.2,,,
1875,INDONESIA,W JAVA,-6.9,108.3,,,7
-2000,TURKMENISTAN,W,38,58.2,18,7.1,1
1963,IRAN,W,33.2,49.2,38,5.1,
2004,IRAN,W,32.023,48.836,37,4.8,
1748,GREECE,"VOSTIZA (EGIO, AIGIO, AEGHION)",38.3,22.1,,6.8,
1983,GREECE,VONITSA,38.294,20.262,19,6.2,
1956,GREECE,VOLOS-AGRIA (MAGNESIA),39.5,23,,5.7,
1980,GREECE,VOLOS,39.203,22.729,10,4,1
1914,JAPAN,VOLCANO ISLANDS,22,143,110,8.1,
2000,JAPAN,VOLCANO ISLANDS,22.338,143.73,127,7.6,
2007,JAPAN,VOLCANO ISLANDS,22.013,142.668,260,7.5,
1600,PERU,VOLCAN HUAYNAPUTINA,-16.8,-70.9,20,7.9,
1991,ROMANIA,"VOITEG, DETA, BANLOC",45.498,21.115,9,5.5,
1930,ALBANIA,"VLORE, TEPELENE",40.3,19.6,4,5,25
1833,ALBANIA,"VLORE, SAZAN, KANINA, NARTA",40.4,19.9,,6.4,
1869,ALBANIA,"VLORE, KANINA, NARTA, HIMARA",40.3,19.3,,,
1862,ALBANIA,"VLORE, KANINA, NARTA",40.3,19.3,,,
1858,ALBANIA,"VLORE, KANINA",40,20.1,,,
1930,ALBANIA,"VLORE, HIMARE, KUC",40.5,19.5,12,6,35
1851,ALBANIA,"VLORE (VALONA),BERAT; TURKEY",40.5,19.7,,6.6,2000
170,GREECE,"VITINIA,HELLESPONT",39,24.5,,,
1114,ITALY,VITERBO,42.42,12.1,,,
2016,ITALY,"VISSO, USSITA",42.956,13.067,10,6.1,1
1982,PHILIPPINES,"VIRAC, CATANDUANES",13.752,124.358,46,7.1,
1348,AUSTRIA,VILLACH; ITALY,46.4,13.5,,,5000
2003,MEXICO,"VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",18.77,-104.104,24,7.5,29
470,FRANCE,"VIENNE,VIVARAIS,DAUPHINE,VELAY,FOREZ",44.4,4.3,,,
1858,GREECE,"VIEILLE,KORINTHOS,HEXAMILIA",38,23,,,19
2000,ICELAND,"VESTMANNAEYJAR, HELLA",63.966,-20.487,10,6.5,
243,ITALY,"VERONA,BENACO",45.3,11,,5.3,
793,ITALY,VERONA,45.5,11,,,
894,ITALY,VERONA,45.3,11,,5.3,
1001,ITALY,VERONA,45.3,11,,6,
1277,ITALY,VERONA,45.3,11,,5.1,
1887,KAZAKHSTAN,VERNENSK,43.1,76.8,20,7.3,
1909,FRANCE,"VERNEGUES,CHARLEVAL,LA ROQUE D'ANTHERON",43.7,5.4,,6.2,40
1854,MEXICO,"VERACRUZ,OAXACA",17,-96.3,,,
1973,MEXICO,"VERACRUZ, MEXICO CITY",18.27,-96.6,84,6.2,600
2002,MEXICO,VERACRUZ,18.194,-95.908,109,5.9,
1920,MEXICO,VERACRUZ,19.26,-96.97,,7.8,648
1523,MEXICO,VERACRUZ,19.2,-96.4,,,
1518,SPAIN,VERA,37.2,-1.5,,,
1902,MEXICO,"VENUSTIANO CARRANZA,CHIAPAS,CHIS,TABASCO",16.6,-92.6,100,7.8,
1117,ITALY,VENEZIA (VENICE) TO EMILIA,44.8,11.3,,,
1233,ITALY,VENEZIA (VENICE),45.3,12.2,,5.6,
1977,ROMANIA,VELINGRAD,42.11,23.97,6,5.1,
1986,BULGARIA,VELIKO TURNOVO-TURGOVISHTE,43.274,25.912,21,5.6,3
1873,GREECE,VATHY-CHORA (SAMOS),37.8,27,,,
1873,GREECE,VASILIKI (LEUKAS),38,23.3,,,
1948,GREECE,VASILIKI (LEUKAS),38.532,20.425,15,6.5,2
1966,TURKEY,"VARTO, MUS",39.1,41.6,38,6,10
1966,TURKEY,VARTO,39.2,41.6,24,6.8,2394
1444,BULGARIA,VARNA,43.2,27.9,,,
1903,TURKEY,"VARGINIS,CARDAHLI,MEHKEREK",40.9,42.7,,5.8,1000
1286,FRANCE,VANNES,47.4,2.5,,,
2004,CANADA,VANCOUVER ISLAND,49.277,-128.772,10,6.6,
2020,IRAN,VAN;  IRAN,38.482,44.367,10,6,10
1441,TURKEY,"VAN,NEMRUT",38.3,43.2,,,
1881,TURKEY,"VAN,NEMRUT",38.5,43.3,,,95
